;Park;Consumption;Year;Month;AverageMonthlyCosts
0;ArcaAgua;4102.172728763;2023;12;341.8477273969167
1;ArcaAgua;4102.172728763;2024;3;1367.3909095876668
2;Avioso;15700.414286790001;2023;12;1308.3678572325
3;Avioso;15700.414286790001;2024;3;5233.47142893
4;Biologico;16239.12748558;2023;12;1353.2606237983334
5;Biologico;16239.12748558;2024;3;5413.042495193334
6;Cidade;53005.70861241;2023;12;4417.1423843675
7;Cidade;53005.70861241;2024;3;17668.56953747
8;Covelo;7125.847891982;2023;12;593.8206576651667
9;Covelo;7125.847891982;2024;3;2375.2826306606667
10;Oriental;15764.74207674;2023;12;1313.728506395
11;Oriental;15764.74207674;2024;3;5254.91402558
12;PalacioCristal;11761.44180138;2023;10;1176.1441801380001
13;PalacioCristal;11761.44180138;2024;3;3920.48060046
14;SaoRoque;6038.93224592;2023;10;603.893224592
15;SaoRoque;6038.93224592;2024;3;2012.9774153066667
16;Varas;2413.87877564;2023;12;201.15656463666667
17;Varas;2413.87877564;2024;3;804.6262585466667
